time_step,drone,x,y
92,drone2,10,9
92,drone3,6,0
92,drone4,4,19
92,drone5,12,20
92,drone6,4,21
93,drone1,6,3
93,drone2,9,9
93,drone3,5,0
93,drone4,3,19
93,drone5,11,20
93,drone6,5,21
94,drone1,6,4
94,drone2,8,9
94,drone3,4,0
94,drone4,2,19
94,drone5,11,21
94,drone6,6,21
95,drone1,5,4
95,drone2,7,9
95,drone3,3,0
95,drone4,1,19
95,drone5,12,21
95,drone6,7,21
96,drone1,5,3
96,drone2,6,9
96,drone3,2,0
96,drone4,0,19
96,drone5,13,21
96,drone6,8,21
97,drone1,4,3
97,drone2,6,8
97,drone3,1,0
97,drone4,0,20
97,drone5,14,21
97,drone6,9,21
98,drone1,3,3
98,drone2,5,8
98,drone3,0,0
98,drone4,1,20
98,drone5,15,21
98,drone6,10,21
99,drone1,3,4
99,drone2,4,8
99,drone3,0,1
99,drone4,2,20
99,drone5,16,21
99,drone6,11,21
100,drone1,3,5
100,drone2,3,8
100,drone3,0,2
100,drone4,3,20
100,drone5,17,21
100,drone6,11,20
101,drone1,3,6
101,drone2,2,8
101,drone3,0,3
101,drone4,4,20
101,drone5,18,21
101,drone6,11,19
102,drone1,2,6
102,drone2,1,8
102,drone3,0,4
102,drone4,5,20
102,drone5,19,21
102,drone6,12,19
103,drone1,1,6
103,drone2,0,8
103,drone3,0,5
103,drone4,6,20
103,drone5,20,21
103,drone6,13,19
104,drone1,1,5
104,drone2,0,7
104,drone3,0,5
104,drone4,7,20
104,drone5,21,21
104,drone6,14,19
105,drone1,2,5
105,drone2,1,7
105,drone3,1,5
105,drone4,8,20
105,drone5,22,21
105,drone6,15,19
106,drone1,3,5
106,drone2,2,7
106,drone3,2,5
106,drone4,9,20
106,drone5,23,21
106,drone6,16,19
107,drone1,4,5
107,drone2,3,7
107,drone3,3,5
107,drone4,9,19
107,drone5,23,20
107,drone6,17,19
108,drone1,5,5
108,drone2,4,7
108,drone3,4,5
108,drone4,8,19
108,drone5,22,20
108,drone6,18,19
109,drone1,5,6
109,drone2,5,7
109,drone3,5,5
109,drone4,7,19
109,drone5,21,20
109,drone6,19,19
110,drone1,5,7
110,drone2,5,8
110,drone3,5,6
110,drone4,6,19
110,drone5,20,20
110,drone6,20,19
111,drone1,5,8
111,drone2,5,9
111,drone3,5,7
111,drone4,7,19
111,drone5,19,20
111,drone6,19,19
112,drone1,5,9
112,drone2,5,10
112,drone3,5,8
112,drone4,7,18
112,drone5,19,19
112,drone6,19,18
113,drone1,5,10
113,drone2,5,11
113,drone3,5,9
113,drone4,8,18
113,drone5,18,19
113,drone6,18,18
114,drone1,5,11
114,drone2,5,12
114,drone3,5,10
114,drone4,9,18
114,drone5,17,19
114,drone6,17,18
115,drone1,6,11
115,drone2,6,12
115,drone3,6,10
115,drone4,10,18
115,drone5,16,19
115,drone6,16,18
116,drone1,7,11
116,drone2,7,12
116,drone3,7,10
116,drone4,11,18
116,drone5,15,19
116,drone6,15,18
117,drone1,8,11
117,drone2,8,12
117,drone3,8,10
117,drone4,12,18
117,drone5,14,19
117,drone6,14,18
118,drone1,9,11
118,drone2,9,12
118,drone3,9,10
118,drone4,13,18
118,drone5,13,19
118,drone6,14,19
119,drone1,10,11
119,drone2,10,12
